文件名,特征,特征面数,打标签数量,准确率(%)
GFR_02047 , rib ,112,112,100.0
GFR_02046 , rib ,109,109,100.0
GFR_02046 , contact ,89,89,100.0
GFR_02033 , contact ,131,131,100.0
GFR_02033 , clip ,230,230,100.0
GFR_02033 , boss ,10,10,100.0
GFR_02015 , contact ,91,91,100.0
GFR_02014 , contact ,55,55,100.0
GFR_02014 , clip ,281,281,100.0
GFR_02014 , boss ,10,10,100.0
GFR_02013 , rib ,25,25,100.0
GFR_02013 , contact ,92,92,100.0
GFR_02011 , rib ,60,60,100.0
GFR_02011 , rib ,60,60,100.0
GFR_02011 , clip ,60,60,100.0
GFR_02010 , clip ,54,54,100.0
GFR_02010 , contact ,47,47,100.0
GFR_02009 , contact ,139,139,100.0
GFR_02009 , boss ,68,68,100.0
GFR_02008 , contact ,273,273,100.0
GFR_02008 , rib ,157,157,100.0
GFR_02007 , boss ,64,64,100.0
GFR_02014 , rib ,176,176,100.0
GFR_02015 , rib ,25,25,100.0
GFR_02029 , rib ,68,68,100.0
GFR_02016 , boss ,76,76,100.0
GFR_02028 , rib ,41,41,100.0
GFR_02028 , clip ,72,72,100.0
GFR_02027 , clip ,78,78,100.0
GFR_02025 , rib ,90,90,100.0
GFR_02025 , contact ,69,69,100.0
GFR_02023 , rib ,13,13,100.0
GFR_02023 , boss ,98,98,100.0
GFR_02022 , clip ,109,109,100.0
GFR_02022 , boss ,31,31,100.0
GFR_02021 , contact ,131,131,100.0
GFR_02021 , clip ,123,123,100.0
GFR_02020 , contact ,130,130,100.0
GFR_02020 , clip ,123,123,100.0
GFR_02017 , clip ,443,443,100.0
GFR_02016 , contact ,64,64,100.0
GFR_01768 , clip ,348,348,100.0
GFR_01755 , boss ,154,154,100.0
GFR_01768 , contact ,197,197,100.0
GFR_01483 , boss ,17,17,100.0
GFR_01488 , clip ,94,94,100.0
GFR_01488 , contact ,64,64,100.0
GFR_01487 , clip ,14,14,100.0
GFR_01486 , boss ,29,29,100.0
GFR_01486 , clip ,24,24,100.0
GFR_01486 , rib ,58,58,100.0
GFR_01484 , clip ,94,94,100.0
GFR_01483 , clip ,58,58,100.0
GFR_01489 , rib ,58,58,100.0
GFR_01483 , rib ,15,15,100.0
GFR_01482 , rib ,15,15,100.0
GFR_01482 , clip ,57,57,100.0
